LTCR,RUFF,RUT,ALCR,AADT,Treatment,Base,Years since Work,Actual LTCR,Actual RUFF,Actual RUT,Actual ALCR
0.432,14.65596,49.64962,40.43508,3271,OVL,TONS,18,0.432145827,14.29399335,50.47327551,40.3252328
99.895,98.49769,78.99038889,89.91754,11490,OVL,AONC,1,99.86200766,98.54207713,79.09200188,89.91754
39.26136499,0.184451039,63.59851632,66.85489614,3100,OVL,THCK,18,40.04770285,1.788848532,64.42276132,66.85489614
98.795,84.357,84.4175,89.362,4283,OVL,THCK,5,96.3539159,82.70163032,85.39068334,88.18
36.30655093,76.89666667,37.74173611,68.05134259,2100,OVL,TONW,12,36.45495069,76.91128394,37.49962151,67.95430185
31.14702703,92.57054054,35.91294118,62.51675676,1600,OVL,TONS,12,30.81011385,92.62082636,33.21263929,62.14405405
91.788,98.767,82.93,82.121,2350,MAF,THCK,6,72.30503285,95.43325201,82.11360879,74.587
60.7754062,93.27008863,52.80893648,12.3440367,10481,OVL,TONS,16,61.41538167,93.63369937,55.94204375,4.524935303
35.958,71.099,45.833,61.42947368,590,PAO,TONS,12,35.95746337,71.10014275,44.6477151,57.495
10.43,47.8715,51.785,75.769,1100,OVL,TONS,8,10.42994321,47.87207217,53.4471892,75.769
1.890512334,83.20840607,50.065,31.66137931,3300,PAO,TONS,11,1.890420063,83.20724671,53.0816051,20.08603416
40.27,71.26,70.47,68.48,4700,OVL,TONS,9,36.63930537,68.23803211,67.35025345,67.4162
100,100,86.7015,99.013,7100,MAF,THCK,1,99.81627445,99.59252393,86.20524239,89.756
20.02251344,2.482150538,19.06853147,62.17282258,450,OVL,TONS,17,99.34640523,99.34640523,83.63940295,99.76823529
96.6835,99.8315,83.8125,78.33,5550,OVL,THCK,8,95.99408085,99.94595881,84.27427635,76.754
85.40711165,97.63317961,70.41444175,80.07048544,3800,MAF,TONS,2,85.22950429,97.36740125,69.43759821,79.86248786
5.42033543,15.95964361,22.91534591,34.83309735,3633,OVL,TONW,13,5.419977562,14.90152091,20.21116801,32.48280922
43.9165,23.7945,45.0345,68.086,1300,OVL,TONS,16,44.18110739,24.43552104,41.54668666,68.3723592
69.86585165,77.97054945,61.37112637,64.21527473,16492,MAF,TONS,5,69.92042356,77.77518069,62.97676487,64.16007143
43.962,60.391,61.194,73.405,2400,OVL,TONS,20,43.96257582,60.38944979,62.28696239,73.405
96.89795455,94.81507576,73.078,90.41863636,1300,OVL,TONS,0,96.89771447,94.81535224,74.22078143,90.41863636
48.947,51.7185,59.772,73.996,1322,HROL,TONS,8,48.94700386,51.71789037,60.18387365,73.996
99.2885,100,81.472,94.484,2350,OVL,THCK,0,99.36948354,99.86920339,81.02022928,80.3
94.431,70.405,85.008,81.671,7600,MAF,THCK,8,87.64763354,81.80202704,84.33372384,79.118
100,100,84.364,97.6762,8800,MAF,THCK,1,97.26483985,96.5145842,84.5306966,85.99111111
59.4545,100,83.4316,97.3996,5800,MAF,TONS,0,100,100,83.44871244,97.4666588
100,96.1615,80.918,74.981,6300,OVL,THCK,8,100,95.13950359,81.02399202,70.44015
61.7315,87.508,69.925,66.116,2744,OVL,TONS,12,61.43250926,87.39353378,69.88460313,65.9467376
99.103,99.7,85.235,82.516,2600,MAF,THCK,3,98.57115224,99.52975488,85.07960133,85.028
84.62827586,97.62793103,82.37293103,84.37586207,4600,OVL,TONS,11,81.87584305,98.72294604,82.81402253,78.72739655
89.0915,93.679,74.9435,82.664,990,OVL,TONS,7,89.35474004,93.87238296,75.79033042,82.5655
51.10897059,62.34205882,21.09948529,71.37705882,898,OVL,TONS,7,81.06102097,86.00366501,46.43019395,83.05220588
87.179,33.086,65.459,70.893,1700,OVL,THCK,8,78.28454696,39.01531366,56.29616833,62.373
98.3235,99.122,60.599,82.861,4916,OVL,TONS,8,96.72229871,98.81414575,77.54878063,81.482
97.981,73.534,85.754,88.657,7750,MAF,THCK,4,98.05209559,74.76699857,85.73513776,79.709
53.85565998,38.84899683,70.48798311,71.62534319,5863,OVL,TONS,10,54.21975482,39.21224959,71.17621292,71.6952397
92.613,70.942,85.345,91.621,6700,MAF,THCK,4,93.45810319,75.29577554,85.49620014,88.18
31.87758347,14.34750398,49.83704293,54.03333333,5028,OVL,TONS,10,31.69284379,14.318272,50.24839691,51.24344929
19.5655,37.2575,30.3695,68.874,570,OVL,TONS,16,19.56586739,37.25825311,29.88829571,68.874
94.75263158,100,85.774,98.03,25850,MAF,THCK,0,99.6898829,99.41240624,85.37398419,86.013
4.887,3.9885,34.445,70.45,900,PAO,TONW,16,3.933297275,2.968584762,32.83107818,69.7946992
0,0,57.79538462,50.29538462,1200,OVL,AONC,18,0,0,62.81154868,57.55104615
25.483,77.8515,23.585,65.16210526,686,PAO,TONW,16,25.45363321,77.67034669,23.61835841,61.9396
64.9895,59.1535,82.062,90.347,5600,MAF,THCK,5,66.37536255,58.44666819,81.08333059,91.7913646
79.948,15.15,77.247,65.249,2800,OVL,THCK,20,60.17482716,49.94521256,75.41096734,55.675
11.0395,53.752,60.47,61.191,4114,OVL,TONS,15,11.03975007,53.75231478,61.14291983,61.191
41.412,71.9125,58.9945,80.694,2500,OVL,TONS,15,41.41247864,71.91382616,57.57789606,80.694
10.568,0.2895,29.98352,53.39768,1600,PAO,TONS,15,100,100,84.39618648,100
48.978125,70.9934375,77.88,82.02375,4373,OVL,AONC,8,37.95322723,57.69552665,71.61738308,79.83705
92.72307692,94.86153846,68.22,43.93076923,1300,OVL,TONS,15,87.6578952,91.28995352,68.21529838,59.74347826
37.96881301,35.30743089,54.59918699,71.13229268,1500,OVL,THCK,20,38.87414758,36.22475558,56.2885768,71.22364943
92.55,91.5784507,77.37112676,48.33605634,4500,OVL,THCK,11,93.644841,91.8071034,77.21888068,50.75
5.2385,6.6515,53.1455,75.375,636,OVL,TONS,12,5.88341654,6.372544708,51.81946837,75.2161392
85.72254842,83.36756371,81.03953109,72.21918451,6500,OVL,AONC,8,85.41328345,80.08681619,80.76808554,70.02627931
97.064,100,85.22752,99.212,550,MAF,TONS,0,100,100,85.25924386,99.212
28.66496815,12.87522293,45.22082803,61.07681529,2800,OVL,TONS,18,29.1983918,12.87672231,46.74141593,61.48386497
30.727,12.414,54.2845,83.452,543,PAO,THCK,17,30.72675593,12.41361489,55.6737883,83.452
87.066,74.0285,77.8545,72.026,7100,OVL,THCK,8,83.84036744,74.22469542,77.02502134,67.692
96.319,100,86.6723,98.4634,14250,MAF,THCK,0,98.60462092,93.8025763,86.45003398,88.377
76.1045,76.572,80.736,76.951,5800,OVL,AONC,5,61.39303586,69.80854197,65.24318136,76.951
53.7815,76.0425,74.25764706,67.101,8127,OVL,AONC,9,52.59135299,75.18228078,74.38068033,63.9687
