Buyer,Origin,Buy Agree ID,Vendor,Name,Status,Descr,Vt process used,Vt agrmt type,Begin Dt,Expire Dt,Max. Amt,State
AFOSTER,HEA,0000000000000000000023946,0000134125,GL Suite Inc,Approved,Provide state w/support plan,Sole,Info tech,4/22/2013,3/31/2018,100677.600,OR
AFOSTER,HEA,0000000000000000000024498,0000319222,"Sydion, LLC",Approved,Warehouse management System,Simplified,Info tech,7/1/2013,6/30/2017,56784.960,TX
AFOSTER,HEA,0000000000000000000025211,0000290985,"Scheuerle,Angela Elizabeth",Approved,VT. Birth information Network,Simplified,Prof,10/1/2013,9/30/2017,10000.000,TX
AFOSTER,HEA,0000000000000000000025441,0000001172,Ready Funeral Service,Approved,Cremation of unclaimed remains,Standard,Other,1/1/2014,12/31/2017,7040.000,VT
AFOSTER,HEA,0000000000000000000025491,0000314028,Spherion Staffing LLC,Approved,Temporary employee service,Standard,Other,1/7/2013,12/31/2017,550000.000,FL
AFOSTER,HEA,0000000000000000000025582,0000032586,ITBD Therapy Services LLC,Approved,Therapy Services,Standard,Prof,11/11/2013,10/31/2017,161760.000,NH
AFOSTER,HEA,0000000000000000000025602,0000328927,Adcare Educational Institute Inc,Approved,Adolescent treatment services,Sole,Other,11/1/2013,2/28/2018,767207.000,MA
AFOSTER,HEA,0000000000000000000025888,0000042844,University of Vermont,Approved,Evaluation & Data collection,,,1/31/2014,1/30/2018,674318.000,VT
AFOSTER,HEA,0000000000000000000026269,0000332153,"Oxbow Data Management Systems, LLC",Approved,Software system MedIT,Standard,Info tech,5/15/2014,5/14/2018,175560.000,NE
AFOSTER,HEA,0000000000000000000026389,0000041897,National Medical Services Inc,Approved,Toxicological analysis,Standard,Other,7/1/2014,6/30/2018,391375.000,PA
AFOSTER,HEA,0000000000000000000026499,0000333708,Counter Tools,Approved,Store audit & mapping software,Standard,Info tech,6/1/2014,5/31/2018,195457.000,NC
AFOSTER,HEA,0000000000000000000026618,0000012501,Conduent State & Local Solutions Inc,Approved,WIC EBT System,Standard,Info tech,6/1/2014,5/31/2021,1057002.000,TX
AFOSTER,HEA,0000000000000000000026625,0000007589,American International Distribution Corp,Approved,Warehouse services,Standard,Other,7/1/2014,6/30/2018,100000.000,VT
AFOSTER,HEA,0000000000000000000026662,0000110590,EMSystems LLC,Approved,"Tech support, upgrades",Sole,Info tech,6/30/2014,6/29/2018,475080.000,WI
AFOSTER,HEA,0000000000000000000026665,0000283042,Computer Aid Inc,Approved,USA FoodSafety Software,Standard,Info tech,10/31/2014,10/30/2017,402922.000,PA
AFOSTER,HEA,0000000000000000000027185,0000294727,New England Call Center,Approved,Telephone answering Service,Standard,Info tech,8/27/2014,8/26/2018,70000.000,NH
AFOSTER,HEA,0000000000000000000027211,0000335575,iConnect Consulting Inc,Approved,Information management system,Standard,Other,9/1/2014,8/31/2018,695400.000,CA
AFOSTER,HEA,0000000000000000000027295,0000132542,"Bress,William",Approved,CLIA Director Services,Sole,Other,10/1/2014,9/30/2017,42000.000,SC
AFOSTER,HEA,0000000000000000000027713,0000001905,Oh! Suzannah,Approved,Graphic design,Standard,Other,11/1/2014,10/31/2017,60000.000,VT
AFOSTER,HEA,0000000000000000000027716,0000293035,Image Farm Inc,Approved,Graphic Design,Standard,Other,11/1/2014,10/31/2017,130000.000,VT
AFOSTER,HEA,0000000000000000000027920,0000029060,"Sabens,Laurie",Approved,Transcribe dictation,Sole,Other,1/1/2015,12/31/2017,21750.000,VT
AFOSTER,HEA,0000000000000000000028309,0000041864,North Country Hospital and,Approved,Portable hospital system,,,2/15/2015,9/30/2019,0.000,VT
AFOSTER,HEA,0000000000000000000028376,0000041866,Northeastern Vermont Regional Hospital,Open,Portable Hospital,,,1/31/2015,9/30/2019,0.000,VT
